,hand sum,action,value,times visited
0,0,1,282.89122698834785,77841
1,1,1,0.0,0
2,2,1,251.40737410071858,5560
3,3,1,235.2267042452004,5677
4,4,1,239.99650349650366,6292
5,5,1,247.0338724443087,6554
6,6,1,254.3389429763559,7190
7,7,1,267.52199606040733,7615
8,8,1,281.24550035996987,8334
9,9,1,296.1992358691972,8899
10,10,1,314.67418047358353,28126
11,11,1,330.7481638964056,10348
12,12,1,202.46358915176023,8665
13,13,1,195.8477238726222,9358
14,14,1,181.01040681173163,1057
15,15,1,165.08555133079875,1052
16,16,1,147.7157057654076,1006
17,17,1,129.04366347177847,939
18,18,1,110.95098039215691,918
19,19,1,95.0310492505354,934
20,20,1,62.2260015117158,1323
21,21,1,178.06827309236948,747
22,0,0,0.0,0
23,1,0,0.0,0
24,2,0,4.0,817
25,3,0,9.0,813
26,4,0,16.0,824
27,5,0,25.0,911
28,6,0,36.0,954
29,7,0,49.0,984
30,8,0,64.0,1031
31,9,0,81.0,1085
32,10,0,100.0,3504
33,11,0,121.0,1228
34,12,0,144.0,1134
35,13,0,169.0,1290
36,14,0,196.0,10113
37,15,0,225.0,9657
38,16,0,256.0,9405
39,17,0,289.0,9017
40,18,0,324.0,8610
41,19,0,361.0,8186
42,20,0,400.0,12205
43,21,0,441.0,7326
